# ---------------------------------------- 
# Pages
# 20200105-20200111
# ----------------------------------------

Page,Country,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/resources,United Kingdom,23,20,00:00:56,2,44.12%,56.00%,$0.00
/resources,Finland,1,1,00:00:13,0,0.00%,0.00%,$0.00
/resources/313,United Kingdom,1,1,00:00:00,0,0.00%,100.00%,$0.00
/resources/427,Finland,1,1,00:00:00,0,0.00%,100.00%,$0.00
/resources/458,United Kingdom,1,1,00:00:08,0,0.00%,0.00%,$0.00
/resources/463,Canada,1,1,00:00:00,1,100.00%,100.00%,$0.00
/resources/464,United Kingdom,1,1,00:00:00,0,0.00%,100.00%,$0.00
/resources/465,United Kingdom,1,1,00:00:03,0,0.00%,0.00%,$0.00
/resources/112,Ecuador,2,1,00:06:34,2,95.13%,21.75%,$0.00
/resources/58,Spain,15,10,00:00:00,15,5.21%,34.94%,$0.00
/resources/59,Austria,30,27,00:05:13,26,28.88%,87.54%,$0.00
/resources/63,Portugal,11,9,00:00:00,8,8.55%,75.18%,$0.00
/resources/63,Australia,33,33,00:25:30,25,13.10%,27.98%,$0.00
/resources/63,Azerbaijan,5,5,00:00:00,1,61.56%,21.05%,$0.00
/resources/64,Portugal,39,39,00:13:48,33,67.54%,79.61%,$0.00
/resources/66,Netherlands,28,24,00:06:09,27,44.86%,99.65%,$0.00
/resources/71,Norway,33,29,00:00:05,27,42.06%,26.26%,$0.00
/resources/73,Ireland,24,24,00:00:00,20,42.41%,43.69%,$0.00
/resources/90,Spain,16,14,00:11:17,16,60.91%,83.06%,$0.00
/resources/90,United Kingdom,27,23,00:04:23,22,1.30%,30.78%,$0.00
/resources/90,Mexico,23,20,00:00:00,23,49.98%,7.54%,$0.00
/resources/90,Ukraine,6,4,00:14:22,3,43.90%,33.83%,$0.00
/resources/93,Portugal,37,33,00:00:00,35,60.32%,42.41%,$0.00
/resources/93,Netherlands,12,10,00:25:30,10,41.53%,15.76%,$0.00
/resources/99,Greece,25,23,00:00:31,21,70.23%,7.93%,$0.00
/resources/99,Finland,18,13,00:00:00,12,52.27%,64.14%,$0.00
/resources/99,Belgium,21,20,00:06:22,15,49.25%,92.13%,$0.00
/resources/100,Ukraine,28,24,00:03:31,22,95.06%,31.33%,$0.00
/resources/100,Spain,35,30,00:00:00,27,73.08%,30.44%,$0.00
/resources/105,Ukraine,7,7,00:01:16,6,81.28%,51.72%,$0.00
/resources/105,Netherlands,11,8,00:00:00,9,36.82%,42.05%,$0.00
/resources/106,France,1,1,00:00:31,1,44.23%,54.05%,$0.00
/resources/112,Australia,37,32,00:02:06,37,18.00%,1.76%,$0.00
/resources/117,Denmark,30,30,00:02:06,29,16.11%,5.63%,$0.00
/resources/117,Slovakia,39,35,00:00:00,39,75.86%,98.85%,$0.00
/resources/120,Hungary,11,7,00:11:57,11,59.59%,69.04%,$0.00
/resources/120,Poland,22,22,00:05:04,22,91.55%,34.91%,$0.00
/resources/123,Spain,2,2,00:00:00,1,24.64%,52.17%,$0.00
/resources/127,United States,2,2,00:13:53,2,89.24%,29.93%,$0.00
/resources/127,Poland,21,17,00:12:12,21,38.64%,35.38%,$0.00
/resources/132,Australia,30,29,00:00:00,25,75.46%,3.28%,$0.00
/resources/132,(not set),13,12,00:00:07,12,42.69%,50.56%,$0.00
/resources/153,Switzerland,19,15,00:00:07,19,24.76%,44.55%,$0.00
/resources/153,Indonesia,7,2,00:01:14,7,26.54%,12.24%,$0.00
/resources/165,Greece,16,15,00:00:26,8,88.97%,77.20%,$0.00
/resources/165,Azerbaijan,5,5,00:00:05,5,56.82%,33.51%,$0.00
/resources/166,Bangladesh,17,17,00:18:41,11,55.64%,77.41%,$0.00
/resources/166,Canada,9,6,00:03:00,6,75.53%,10.45%,$0.00
/resources/172,Madagascar,3,3,00:00:08,3,72.52%,5.04%,$0.00
/resources/176,Canada,4,3,00:00:17,1,26.44%,5.80%,$0.00
/resources/178,Japan,11,11,00:00:00,9,24.48%,52.68%,$0.00
/resources/180,Cameroon,33,31,00:20:21,25,43.62%,76.57%,$0.00
/resources/180,Australia,23,22,00:00:43,21,58.32%,39.54%,$0.00
/resources/180,Taiwan,39,39,00:18:41,37,82.18%,68.92%,$0.00
/resources/180,United Kingdom,33,28,00:06:25,28,92.33%,7.94%,$0.00
/resources/180,Belgium,15,12,00:00:00,13,46.77%,54.83%,$0.00
/resources/180,(not set),28,28,00:00:05,21,17.08%,28.44%,$0.00
/resources/180,Finland,2,1,00:00:07,0,60.87%,39.71%,$0.00
/resources/235,Mexico,4,3,00:14:22,3,66.86%,33.84%,$0.00
/resources/238,United Kingdom,38,33,00:07:57,37,27.98%,38.51%,$0.00
/resources/245,Belgium,23,23,00:00:31,23,96.87%,75.13%,$0.00
/resources/246,Sweden,11,7,00:07:57,11,67.28%,45.78%,$0.00
/resources/246,Mexico,37,34,00:00:00,30,59.08%,84.14%,$0.00
/resources/248,Netherlands,7,7,00:00:00,7,47.86%,82.10%,$0.00
/resources/256,Sweden,3,3,00:00:05,2,65.38%,25.12%,$0.00
/resources/256,Finland,32,27,00:06:34,32,74.80%,50.33%,$0.00
/resources/257,United States,16,12,00:00:00,16,84.76%,38.41%,$0.00
/resources/257,Taiwan,17,13,00:13:53,13,83.17%,8.67%,$0.00
/resources/262,Poland,40,36,00:13:53,32,18.95%,57.75%,$0.00
/resources/265,India,11,11,00:00:07,6,64.76%,21.36%,$0.00
/resources/265,Bangladesh,20,18,00:06:25,12,97.51%,53.28%,$0.00
/resources/265,Azerbaijan,23,20,00:01:16,23,81.05%,33.43%,$0.00
/resources/268,Austria,33,30,00:05:11,31,44.67%,46.73%,$0.00
/resources/268,Canada,29,27,00:05:04,24,24.88%,23.12%,$0.00
/resources/268,Bangladesh,22,17,00:00:00,18,15.87%,16.61%,$0.00
/resources/270,France,9,5,00:13:53,6,11.67%,13.74%,$0.00
/resources/280,Ukraine,36,35,00:11:17,30,72.49%,61.89%,$0.00
/resources/281,United Kingdom,9,6,00:05:04,7,12.86%,71.73%,$0.00
/resources/281,Serbia,29,27,00:00:00,24,15.07%,53.02%,$0.00
/resources/285,Spain,34,33,00:00:00,34,95.61%,8.95%,$0.00
/resources/285,Ireland,5,4,00:01:14,4,97.25%,50.64%,$0.00
/resources/285,Bulgaria,38,37,00:00:00,34,11.95%,6.84%,$0.00
/resources/286,Taiwan,12,11,00:00:13,10,6.91%,87.76%,$0.00
/resources/291,Slovakia,25,22,00:25:30,25,84.32%,38.60%,$0.00
/resources/294,Bangladesh,24,21,00:00:00,23,83.68%,96.24%,$0.00
/resources/294,Switzerland,36,32,00:00:00,33,73.16%,20.60%,$0.00
/resources/294,Germany,21,20,00:11:57,18,10.47%,6.45%,$0.00
/resources/294,Norway,40,35,00:20:21,34,30.82%,55.14%,$0.00
/resources/294,Germany,11,11,00:00:00,6,60.14%,39.59%,$0.00
/resources/296,Spain,18,15,00:01:23,12,12.54%,85.89%,$0.00
/resources/298,Austria,36,34,00:00:00,29,36.58%,61.30%,$0.01
/resources/298,Portugal,34,31,00:25:30,29,75.82%,26.13%,$0.02
/resources/298,Australia,16,12,00:00:00,13,31.34%,22.51%,$0.03
/resources/300,Azerbaijan,7,3,00:14:44,1,46.94%,50.72%,$0.04
/resources/300,Portugal,19,17,00:00:00,15,22.23%,74.08%,$0.05
/resources/300,Netherlands,6,1,00:00:11,6,9.17%,16.43%,$0.06
/resources/319,Norway,1,1,00:00:00,0,64.16%,90.59%,$0.07
/resources/319,Ireland,14,11,00:00:00,12,88.45%,97.34%,$0.08
/resources/319,Spain,36,34,00:13:31,31,95.94%,38.49%,$0.09
/resources/323,United Kingdom,30,26,00:01:07,22,75.87%,7.43%,$0.10
/resources/323,Mexico,23,19,00:00:07,18,45.53%,4.29%,$0.11
/resources/325,Ukraine,20,19,00:06:35,19,31.27%,91.90%,$0.12
/resources/327,Portugal,14,11,00:00:00,6,77.67%,82.34%,$0.13
/resources/327,Netherlands,21,19,00:01:14,16,65.90%,79.60%,$0.14
/resources/327,Greece,12,9,00:00:00,7,12.21%,89.83%,$0.15
/resources/333,Finland,10,8,00:00:00,5,62.09%,38.35%,$0.16
/resources/333,Belgium,4,2,00:00:00,3,23.62%,26.02%,$0.17
/resources/333,Ukraine,38,33,00:00:03,30,20.65%,11.51%,$0.18
/resources/337,Spain,40,38,00:00:11,32,28.92%,11.80%,$0.19
